"Huc6_Vahu6","FDT_SPG_CODE","nObservations","yearsSampled","nYearsSampled","n_Samples_2013","n_Samples_2014","n_Samples_2015","n_Samples_2016","n_Samples_2017","n_Samples_2018","n_Samples_2019","n_Samples_2016_2019","n_Samples_IR2020","n_Samples_IR2022","n_Samples_IR2024"
"RU25","RL, TR, RB, TM",852,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"120 : RL | 6 : TR","123 : RL | 6 : TR","2 : RB | 93 : RL | 6 : TR","106 : RL | 8 : TM | 6 : TR","2 : RB | 124 : RL | 8 : TM | 6 : TR","2 : RB | 117 : RL | 6 : TR","2 : RB | 103 : RL | 6 : TR","RL: 450 | TM: 16 | TR: 24 | RB: 6 | Total: 496","RL: 683 | TR: 36 | RB: 6 | TM: 16 | Total: 741","RB: 8 | RL: 543 | TR: 30 | TM: 16 | Total: 597","RB: 6 | RL: 344 | TM: 8 | TR: 18 | Total: 376"
"RU26","RL",4115,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"693 : RL","614 : RL","467 : RL","517 : RL","643 : RL","632 : RL","549 : RL","RL: 2341 | Total: 2341","RL: 3566 | Total: 3566","RL: 2808 | Total: 2808","RL: 1824 | Total: 1824"
"RU27","RL, AW, TM, QA",5461,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"710 : RL","928 : RL","791 : RL","12 : AW | 732 : RL","699 : RL","1 : QA | 858 : RL | 12 : TM","718 : RL","AW: 12 | RL: 3007 | QA: 1 | TM: 12 | Total: 3032","RL: 4718 | AW: 12 | QA: 1 | TM: 12 | Total: 4743","RL: 3798 | AW: 12 | QA: 1 | TM: 12 | Total: 3823","RL: 2275 | QA: 1 | TM: 12 | Total: 2288"
"RU28","AW",23,"2013, 2019",2,"12 : AW",NA,NA,NA,NA,NA,"11 : AW","AW: 11 | Total: 11","AW: 12 | Total: 12","AW: 11 | Total: 11","AW: 11 | Total: 11"
"RU29","RB, TM, PA, QA, IM, FP",128,"2015, 2016, 2013, 2014, 2017, 2018, 2019",7,"2 : FP | 12 : PA | 1 : RB | 18 : TM","10 : PA | 2 : QA | 2 : RB | 18 : TM","12 : IM | 2 : RB | 1 : TM","7 : IM | 1 : RB","12 : IM | 2 : RB | 6 : TM","11 : IM | 1 : QA | 1 : RB | 6 : TM","1 : RB","IM: 30 | RB: 5 | TM: 12 | QA: 1 | Total: 48","FP: 2 | PA: 22 | RB: 9 | TM: 49 | QA: 3 | IM: 42 | Total: 127","IM: 42 | RB: 7 | TM: 13 | QA: 1 | Total: 63","IM: 23 | RB: 4 | TM: 12 | QA: 1 | Total: 40"
"RU30","TR",41,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 36 | Total: 36","TR: 29 | Total: 29","TR: 17 | Total: 17"
"RU31","TM, QA, PA, RB, FP",44,"2013, 2014, 2017, 2018, 2019",5,"1 : QA | 5 : TM","10 : PA | 1 : QA | 6 : TM",NA,NA,"2 : RB","2 : FP | 12 : PA | 1 : QA | 2 : RB","2 : FP","RB: 4 | FP: 4 | PA: 12 | QA: 1 | Total: 21","QA: 3 | TM: 11 | PA: 22 | RB: 4 | FP: 2 | Total: 42","RB: 4 | FP: 4 | PA: 12 | QA: 1 | Total: 21","RB: 4 | FP: 4 | PA: 12 | QA: 1 | Total: 21"
"RU32","AW, QA, IM",35,"2014, 2015, 2016, 2017, 2018",5,NA,"10 : AW | 1 : QA","6 : IM","6 : IM","6 : IM","6 : IM",NA,"IM: 18 | Total: 18","AW: 10 | QA: 1 | IM: 24 | Total: 35","IM: 24 | Total: 24","IM: 12 | Total: 12"
"RU33","AW, QA",12,"2018",1,NA,NA,NA,NA,NA,"11 : AW | 1 : QA",NA,"AW: 11 | QA: 1 | Total: 12","AW: 11 | QA: 1 | Total: 12","AW: 11 | QA: 1 | Total: 12","AW: 11 | QA: 1 | Total: 12"
"RU34","AW, RB, PA, QA, FP",25,"2015, 2013, 2018",3,"2 : RB",NA,"12 : AW",NA,NA,"2 : FP | 8 : PA | 1 : QA",NA,"FP: 2 | PA: 8 | QA: 1 | Total: 11","RB: 2 | AW: 12 | FP: 2 | PA: 8 | QA: 1 | Total: 25","AW: 12 | FP: 2 | PA: 8 | QA: 1 | Total: 23","FP: 2 | PA: 8 | QA: 1 | Total: 11"
"RU35","RB, TM, TR, FP",75,"2013, 2014, 2017, 2018, 2015, 2016, 2019",7,"2 : RB | 6 : TR","2 : RB | 11 : TM | 6 : TR","6 : TR","7 : TR","2 : RB | 6 : TM | 6 : TR","2 : RB | 6 : TM | 6 : TR","2 : FP | 5 : TR","TR: 24 | RB: 4 | TM: 12 | FP: 2 | Total: 42","RB: 8 | TR: 37 | TM: 23 | Total: 68","TR: 30 | RB: 4 | TM: 12 | FP: 2 | Total: 48","RB: 4 | TM: 12 | TR: 17 | FP: 2 | Total: 35"
"RU36","TM, IM, TR, FP",71,"2013, 2014, 2015, 2016, 2017, 2018",6,"12 : TM","10 : TM","12 : IM","12 : IM","12 : TR","2 : FP | 11 : TR",NA,"IM: 12 | TR: 23 | FP: 2 | Total: 37","TM: 22 | IM: 24 | TR: 23 | FP: 2 | Total: 71","IM: 24 | TR: 23 | FP: 2 | Total: 49","TR: 23 | FP: 2 | Total: 25"
"RU37","RB, TM, IM, TR",98,"2013, 2014, 2017, 2018, 2015, 2016, 2019",7,"4 : RB | 6 : TM | 6 : TR","2 : RB | 16 : TM | 6 : TR","6 : IM | 5 : TR","6 : IM | 6 : TR","2 : RB | 6 : TR","6 : IM | 2 : RB | 3 : TM | 6 : TR","10 : TR","IM: 12 | TR: 28 | RB: 4 | TM: 3 | Total: 47","RB: 10 | TM: 25 | TR: 35 | IM: 18 | Total: 88","IM: 18 | TR: 33 | RB: 4 | TM: 3 | Total: 58","RB: 4 | TR: 22 | IM: 6 | TM: 3 | Total: 35"
"RU38","AW, TM, IM, RL, FP, PA, RB",953,"2013, 2014, 2018, 2015, 2017, 2016, 2019",7,"12 : AW | 215 : RL","6 : TM","198 : RL","2 : FP | 12 : PA","188 : RL","6 : IM | 163 : RL","2 : RB | 149 : RL","FP: 2 | PA: 12 | RL: 500 | IM: 6 | RB: 2 | Total: 522","AW: 12 | RL: 764 | TM: 6 | FP: 2 | PA: 12 | IM: 6 | Total: 802","RL: 698 | FP: 2 | PA: 12 | IM: 6 | RB: 2 | Total: 720","RL: 500 | IM: 6 | RB: 2 | Total: 508"
"RU39","RB, AW, SS, PA, FP",47,"2013, 2018, 2014, 2016, 2019",5,"2 : RB","4 : FP | 11 : PA",NA,"3 : FP",NA,"12 : AW | 2 : FP | 12 : SS","1 : RB","FP: 5 | AW: 12 | SS: 12 | RB: 1 | Total: 30","RB: 2 | FP: 9 | PA: 11 | AW: 12 | SS: 12 | Total: 46","FP: 5 | AW: 12 | SS: 12 | RB: 1 | Total: 30","AW: 12 | FP: 2 | SS: 12 | RB: 1 | Total: 27"
"RU40","TM, RB, IM",23,"2015, 2016, 2017, 2019",4,NA,NA,"2 : RB | 6 : TM","6 : IM | 2 : TM","6 : TM",NA,"1 : RB","IM: 6 | TM: 8 | RB: 1 | Total: 15","RB: 2 | TM: 14 | IM: 6 | Total: 22","RB: 3 | TM: 14 | IM: 6 | Total: 23","TM: 6 | RB: 1 | Total: 7"
"RU41","FP, PA, QA, TM, RB",36,"2016, 2015, 2017",3,NA,NA,"2 : RB | 6 : TM","2 : FP | 11 : PA | 1 : QA | 8 : TM","6 : TM",NA,NA,"FP: 2 | PA: 11 | QA: 1 | TM: 14 | Total: 28","RB: 2 | TM: 20 | FP: 2 | PA: 11 | QA: 1 | Total: 36","RB: 2 | TM: 20 | FP: 2 | PA: 11 | QA: 1 | Total: 36","TM: 6 | Total: 6"
"RU42","AW, RB",13,"2015, 2019",2,NA,NA,"12 : AW",NA,NA,NA,"1 : RB","RB: 1 | Total: 1","AW: 12 | Total: 12","AW: 12 | RB: 1 | Total: 13","RB: 1 | Total: 1"
"RU43","TR, PA",53,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","12 : PA | 6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 36 | PA: 12 | Total: 48","TR: 29 | Total: 29","TR: 17 | Total: 17"
"RU44","AW",12,"2015",1,NA,NA,"12 : AW",NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RU45","RB, AW",11,"2018, 2019",2,NA,NA,NA,NA,NA,"1 : RB","10 : AW","RB: 1 | AW: 10 | Total: 11","RB: 1 | Total: 1","RB: 1 | AW: 10 | Total: 11","RB: 1 | AW: 10 | Total: 11"
"RU46","AW",12,"2014",1,NA,"12 : AW",NA,NA,NA,NA,NA,NA,"AW: 12 | Total: 12",NA,NA
"RU47","RB, AW",14,"2016",1,NA,NA,NA,"12 : AW | 2 : RB",NA,NA,NA,"AW: 12 | RB: 2 | Total: 14","AW: 12 | RB: 2 | Total: 14","AW: 12 | RB: 2 | Total: 14",NA
"RU48","RB, TM, TR, FP",108,"2015, 2017, 2014, 2018, 2013, 2016, 2019",7,"6 : TR","3 : RB | 6 : TR","2 : FP | 3 : RB | 6 : TR","6 : TR","8 : RB | 48 : TM | 6 : TR","1 : RB | 6 : TR","2 : RB | 5 : TR","TR: 23 | RB: 11 | TM: 48 | Total: 82","TR: 36 | RB: 15 | FP: 2 | TM: 48 | Total: 101","FP: 2 | RB: 14 | TR: 29 | TM: 48 | Total: 93","RB: 11 | TM: 48 | TR: 17 | Total: 76"
"RU49","TM, IM",18,"2013, 2014, 2015",3,"6 : TM","6 : TM","6 : IM",NA,NA,NA,NA,NA,"TM: 12 | IM: 6 | Total: 18","IM: 6 | Total: 6",NA
"RU50","TM, IM, RB, PA, FP",34,"2013, 2014, 2015",3,"2 : RB | 6 : TM","6 : TM","2 : FP | 6 : IM | 12 : PA",NA,NA,NA,NA,NA,"RB: 2 | TM: 12 | FP: 2 | IM: 6 | PA: 12 | Total: 34","FP: 2 | IM: 6 | PA: 12 | Total: 20",NA
"RU51","TM, IM",24,"2013, 2014, 2015, 2016",4,"6 : TM","6 : TM","6 : IM","6 : IM",NA,NA,NA,"IM: 6 | Total: 6","TM: 12 | IM: 12 | Total: 24","IM: 12 | Total: 12",NA
"RU52","AW, QA, PA, FP",26,"2017",1,NA,NA,NA,NA,"11 : AW | 2 : FP | 12 : PA | 1 : QA",NA,NA,"AW: 11 | FP: 2 | PA: 12 | QA: 1 | Total: 26","AW: 11 | FP: 2 | PA: 12 | QA: 1 | Total: 26","AW: 11 | FP: 2 | PA: 12 | QA: 1 | Total: 26","AW: 11 | FP: 2 | PA: 12 | QA: 1 | Total: 26"
"RU53","TM, QA, IM",24,"2013, 2014, 2015, 2016",4,"1 : QA | 5 : TM","6 : TM","5 : IM | 1 : QA","6 : IM",NA,NA,NA,"IM: 6 | Total: 6","QA: 2 | TM: 11 | IM: 11 | Total: 24","IM: 11 | QA: 1 | Total: 12",NA
"RU54","TM, TR, FP",49,"2014, 2013, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","12 : TM","6 : TR","6 : TR","6 : TR","6 : TR","2 : FP | 5 : TR","TR: 23 | FP: 2 | Total: 25","TR: 30 | TM: 12 | Total: 42","TR: 29 | FP: 2 | Total: 31","TR: 17 | FP: 2 | Total: 19"
"RU55","TM, QA, IM, PA, FP",37,"2013, 2014, 2015, 2016",4,"1 : QA | 5 : TM","6 : TM","6 : IM","1 : FP | 6 : IM | 12 : PA",NA,NA,NA,"FP: 1 | IM: 6 | PA: 12 | Total: 19","QA: 1 | TM: 11 | IM: 12 | FP: 1 | PA: 12 | Total: 37","IM: 12 | FP: 1 | PA: 12 | Total: 25",NA
"RU56","TM, RB",16,"2013, 2014, 2016",3,"6 : TM","2 : RB | 6 : TM",NA,"2 : RB",NA,NA,NA,"RB: 2 | Total: 2","TM: 12 | RB: 4 | Total: 16","RB: 2 | Total: 2",NA
"RU57","AW, QA",22,"2013, 2019",2,"12 : AW",NA,NA,NA,NA,NA,"9 : AW | 1 : QA","AW: 9 | QA: 1 | Total: 10","AW: 12 | Total: 12","AW: 9 | QA: 1 | Total: 10","AW: 9 | QA: 1 | Total: 10"
"RU58","AW, RB",26,"2014, 2019",2,NA,"12 : AW | 4 : RB",NA,NA,NA,NA,"10 : AW","AW: 10 | Total: 10","AW: 12 | RB: 4 | Total: 16","AW: 10 | Total: 10","AW: 10 | Total: 10"
"RU59","TR, FP, RB",47,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"2 : FP | 6 : TR","2 : RB | 6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","2 : RB | 5 : TR","TR: 23 | RB: 2 | Total: 25","FP: 2 | TR: 36 | RB: 2 | Total: 40","TR: 29 | RB: 2 | Total: 31","TR: 17 | RB: 2 | Total: 19"
"RU60","AW",12,"2015",1,NA,NA,"12 : AW",NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RU61","RB",2,"2017",1,NA,NA,NA,NA,"2 : RB",NA,NA,"RB: 2 | Total: 2","RB: 2 | Total: 2","RB: 2 | Total: 2","RB: 2 | Total: 2"
"RU62","AW",12,"2016",1,NA,NA,NA,"12 : AW",NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RU63","AW",12,"2015",1,NA,NA,"12 : AW",NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RU64","TR, RB",46,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","2 : RB | 6 : TR","6 : TR","6 : TR","2 : RB | 6 : TR","6 : TR","6 : TR","TR: 24 | RB: 2 | Total: 26","TR: 36 | RB: 4 | Total: 40","TR: 30 | RB: 2 | Total: 32","RB: 2 | TR: 18 | Total: 20"
"RU65","AW",22,"2014, 2019",2,NA,"12 : AW",NA,NA,NA,NA,"10 : AW","AW: 10 | Total: 10","AW: 12 | Total: 12","AW: 10 | Total: 10","AW: 10 | Total: 10"
"RU66","AW",12,"2017, 2018",2,NA,NA,NA,NA,"6 : AW","6 : AW",NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RU67","IM, QA, FP, PA",32,"2015, 2017, 2018",3,NA,NA,"6 : IM",NA,"6 : IM","2 : FP | 5 : IM | 11 : PA | 2 : QA",NA,"IM: 11 | FP: 2 | PA: 11 | QA: 2 | Total: 26","IM: 17 | FP: 2 | PA: 11 | QA: 2 | Total: 32","IM: 17 | FP: 2 | PA: 11 | QA: 2 | Total: 32","IM: 11 | FP: 2 | PA: 11 | QA: 2 | Total: 26"
"RU68","FP, PA, QA, IM, TM, RB",53,"2013, 2017, 2015, 2018, 2016",5,"2 : FP | 12 : PA | 1 : RB | 6 : TM",NA,"6 : IM","2 : RB","6 : IM | 11 : PA | 1 : QA","5 : IM | 1 : QA",NA,"RB: 2 | IM: 11 | PA: 11 | QA: 2 | Total: 26","FP: 2 | PA: 23 | RB: 3 | TM: 6 | IM: 17 | QA: 2 | Total: 53","IM: 17 | RB: 2 | PA: 11 | QA: 2 | Total: 32","IM: 11 | PA: 11 | QA: 2 | Total: 24"
"RU69","TR, PA, FP, RB",58,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"2 : FP | 12 : PA | 6 : TR","6 : TR","2 : RB | 6 : TR","6 : TR","6 : TR","6 : TR","1 : FP | 5 : TR","TR: 23 | FP: 1 | Total: 24","FP: 2 | PA: 12 | TR: 36 | RB: 2 | Total: 52","RB: 2 | TR: 29 | FP: 1 | Total: 32","TR: 17 | FP: 1 | Total: 18"
"RU70","RB, AW, QA",14,"2015, 2017, 2018",3,NA,NA,"2 : RB",NA,"6 : AW","5 : AW | 1 : QA",NA,"AW: 11 | QA: 1 | Total: 12","RB: 2 | AW: 11 | QA: 1 | Total: 14","RB: 2 | AW: 11 | QA: 1 | Total: 14","AW: 11 | QA: 1 | Total: 12"
"RU71","PA",13,"2018, 2019",2,NA,NA,NA,NA,NA,"12 : PA","1 : PA","PA: 13 | Total: 13","PA: 12 | Total: 12","PA: 13 | Total: 13","PA: 13 | Total: 13"
"RU72","RB, FP, PA",18,"2014, 2017",2,NA,"4 : RB",NA,NA,"2 : FP | 12 : PA",NA,NA,"FP: 2 | PA: 12 | Total: 14","RB: 4 | FP: 2 | PA: 12 | Total: 18","FP: 2 | PA: 12 | Total: 14","FP: 2 | PA: 12 | Total: 14"
"RU73","AW, QA",22,"2013, 2019",2,"12 : AW",NA,NA,NA,NA,NA,"9 : AW | 1 : QA","AW: 9 | QA: 1 | Total: 10","AW: 12 | Total: 12","AW: 9 | QA: 1 | Total: 10","AW: 9 | QA: 1 | Total: 10"
"RU74","AW, RB",25,"2014, 2019",2,NA,"12 : AW | 2 : RB",NA,NA,NA,NA,"10 : AW | 1 : RB","AW: 10 | RB: 1 | Total: 11","AW: 12 | RB: 2 | Total: 14","AW: 10 | RB: 1 | Total: 11","AW: 10 | RB: 1 | Total: 11"
"RU75","AW",10,"2019",1,NA,NA,NA,NA,NA,NA,"10 : AW","AW: 10 | Total: 10",NA,"AW: 10 | Total: 10","AW: 10 | Total: 10"
"RU76","RB, AW, QA",14,"2013, 2016",2,"2 : RB",NA,NA,"11 : AW | 1 : QA",NA,NA,NA,"AW: 11 | QA: 1 | Total: 12","RB: 2 | AW: 11 | QA: 1 | Total: 14","AW: 11 | QA: 1 | Total: 12",NA
"RU77","AW, RB",16,"2013, 2016",2,"12 : AW | 2 : RB",NA,NA,"2 : RB",NA,NA,NA,"RB: 2 | Total: 2","AW: 12 | RB: 4 | Total: 16","RB: 2 | Total: 2",NA
"RU78","TR, PA, RB, FP",57,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","2 : FP | 12 : PA | 6 : TR","6 : TR","6 : TR","1 : RB | 6 : TR","1 : RB | 5 : TR","TR: 23 | RB: 2 | Total: 25","TR: 36 | FP: 2 | PA: 12 | RB: 1 | Total: 51","FP: 2 | PA: 12 | TR: 29 | RB: 2 | Total: 45","TR: 17 | RB: 2 | Total: 19"
"RU79","AW",22,"2014, 2019",2,NA,"12 : AW",NA,NA,NA,NA,"10 : AW","AW: 10 | Total: 10","AW: 12 | Total: 12","AW: 10 | Total: 10","AW: 10 | Total: 10"
"RU80","RL, TR, TM, FP, PA, RB",134,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"28 : RL | 6 : TR","1 : FP | 1 : RB | 28 : RL | 6 : TM | 6 : TR","6 : TR","6 : TR","1 : FP | 6 : TR","6 : PA | 6 : TR","22 : RL | 5 : TR","TR: 23 | FP: 1 | PA: 6 | RL: 22 | Total: 52","RL: 56 | TR: 36 | FP: 2 | RB: 1 | TM: 6 | PA: 6 | Total: 107","TR: 29 | FP: 1 | PA: 6 | RL: 22 | Total: 58","FP: 1 | TR: 17 | PA: 6 | RL: 22 | Total: 46"
"RU81","RB, AW, RL, QA, TM",98,"2015, 2017, 2018, 2016, 2019",5,NA,NA,"2 : RB | 31 : RL","1 : QA | 28 : RL","6 : AW","6 : AW | 2 : RB","2 : RB | 20 : TM","QA: 1 | RL: 28 | AW: 12 | RB: 4 | TM: 20 | Total: 65","RB: 4 | RL: 59 | QA: 1 | AW: 12 | Total: 76","RB: 6 | RL: 59 | QA: 1 | AW: 12 | TM: 20 | Total: 98","AW: 12 | RB: 4 | TM: 20 | Total: 36"
"RU82","AW, PA",24,"2013, 2016",2,"12 : AW",NA,NA,"12 : PA",NA,NA,NA,"PA: 12 | Total: 12","AW: 12 | PA: 12 | Total: 24","PA: 12 | Total: 12",NA
"RU83","TR",41,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 36 | Total: 36","TR: 29 | Total: 29","TR: 17 | Total: 17"
"RU84","AW, QA, RB",16,"2016",1,NA,NA,NA,"11 : AW | 1 : QA | 4 : RB",NA,NA,NA,"AW: 11 | QA: 1 | RB: 4 | Total: 16","AW: 11 | QA: 1 | RB: 4 | Total: 16","AW: 11 | QA: 1 | RB: 4 | Total: 16",NA
"RU85","AW, RB, TM",27,"2014, 2015, 2018, 2019",4,NA,"12 : AW","2 : RB",NA,NA,"1 : RB","2 : RB | 10 : TM","RB: 3 | TM: 10 | Total: 13","AW: 12 | RB: 3 | Total: 15","RB: 5 | TM: 10 | Total: 15","RB: 3 | TM: 10 | Total: 13"
"RU86","RB, AW, QA",14,"2014, 2017, 2018",3,NA,"2 : RB",NA,NA,"6 : AW","5 : AW | 1 : QA",NA,"AW: 11 | QA: 1 | Total: 12","RB: 2 | AW: 11 | QA: 1 | Total: 14","AW: 11 | QA: 1 | Total: 12","AW: 11 | QA: 1 | Total: 12"
"RU87","RB, FP, TR",53,"2014, 2015, 2016, 2018, 2013, 2017, 2019",7,"6 : TR","2 : FP | 2 : RB | 6 : TR","2 : RB | 6 : TR","2 : FP | 6 : TR","6 : TR","1 : FP | 6 : TR","2 : FP | 6 : TR","FP: 5 | TR: 24 | Total: 29","TR: 36 | FP: 5 | RB: 4 | Total: 45","RB: 2 | TR: 30 | FP: 5 | Total: 37","TR: 18 | FP: 3 | Total: 21"
"RU88","PA, FP, AW",25,"2014, 2019",2,NA,"2 : FP | 12 : PA",NA,NA,NA,NA,"11 : AW","AW: 11 | Total: 11","FP: 2 | PA: 12 | Total: 14","AW: 11 | Total: 11","AW: 11 | Total: 11"
"RU89","AW",12,"2015",1,NA,NA,"12 : AW",NA,NA,NA,NA,NA,"AW: 12 | Total: 12","AW: 12 | Total: 12",NA
"RU90","AW",12,"2017, 2018",2,NA,NA,NA,NA,"6 : AW","6 : AW",NA,"AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12","AW: 12 | Total: 12"
"RU91","FP, RB, PA",20,"2014, 2015, 2019",3,NA,"2 : FP | 12 : PA | 2 : RB","2 : RB",NA,NA,NA,"1 : FP | 1 : PA","FP: 1 | PA: 1 | Total: 2","FP: 2 | PA: 12 | RB: 4 | Total: 18","RB: 2 | FP: 1 | PA: 1 | Total: 4","FP: 1 | PA: 1 | Total: 2"
"RU92","TR",41,"2013, 2014, 2015, 2016, 2017, 2018, 2019",7,"6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","6 : TR","5 : TR","TR: 23 | Total: 23","TR: 36 | Total: 36","TR: 29 | Total: 29","TR: 17 | Total: 17"
"RU93","RL, RB",178,"2014, 2016, 2018, 2017, 2019",5,NA,"49 : RL",NA,"47 : RL","2 : RB","46 : RL","34 : RL","RL: 127 | RB: 2 | Total: 129","RL: 142 | RB: 2 | Total: 144","RL: 127 | RB: 2 | Total: 129","RB: 2 | RL: 80 | Total: 82"
"RU94","RL, DR",389,"2014, 2016, 2018, 2015, 2017, 2019",6,NA,"7 : DR | 104 : RL","7 : DR","7 : DR | 106 : RL","3 : DR","2 : DR | 90 : RL","63 : RL","DR: 12 | RL: 259 | Total: 271","DR: 26 | RL: 300 | Total: 326","DR: 19 | RL: 259 | Total: 278","DR: 5 | RL: 153 | Total: 158"
"YA03","AW",10,"2019",1,NA,NA,NA,NA,NA,NA,"10 : AW","AW: 10 | Total: 10",NA,"AW: 10 | Total: 10","AW: 10 | Total: 10"
"YA04","AW",10,"2019",1,NA,NA,NA,NA,NA,NA,"10 : AW","AW: 10 | Total: 10",NA,"AW: 10 | Total: 10","AW: 10 | Total: 10"
